"","number","snippet","type_of_material"
"5159",5159,"Deposits show prosperity","Article"
"5160",5160,"Announcement was made yesterday of the organization of the Belgian Chamber of Commerce in the United States, with headquarters in this city at 59 Pearl Street. Jule Maes, cotton broker, fo 80 Wall Street, is President of the organization. The Vice...","Article"
"5161",5161,"The Jewish Art Theatre, of which Emanuel Reicher is the Director, has  added to its repertoire in Madison Square a play called ""The Dumb Messiah,"" by David Pinski. This play was  revealed Saturday night and will be repeated...","Article"
"5162",5162,"PARIS, Nov. 15.--The French Foreign Office considers the reservations to the German peace treaty in the American Senate as constituting a question of extreme delicacy, and the office is not disposed at present to make any official statement on the...","Article"
"5163",5163,"PHILADELPHIA, Nov. 15.--Captain Bert Bell of Pennsylvania and Andy Hastings of Pittsburgh basked in the spotlight before 30,000 football enthusiasts at Franklin Field today and delivered the only points made in the game by kicking field goals.","Article"
"5164",5164,"Notwithstanding the oft-heard statement, ""the day of the horse is done,"" this week will find over 1,500 entries appearing in the ring at Madison Square Garden at the thirty-fourth National Horse Slow. And the steadily increasing popularity of the ...","Article"
"5165",5165,"Handicap tourney","Article"
"5166",5166,"Approves design","Article"
"5167",5167,"Delegates to represent Merchants' Assoc at annual convention appointed","Article"
"5168",5168,"wins Nobel prize for physics","Article"
"5169",5169,"TRIESTE, Nov. 15 (Associated Press) --Gabriele d'Annunzio, who left Flume on Thursday night on a new expedition, has landed at Zara, on the Dalmatian coast, according to news received here late last night.","Article"
"5170",5170,"will submit report outlining plans","Article"
"5171",5171,"BERLIN, Nov. 14.(Associated Press.) --Pan-German students today refused to  permit Field Marshal von Hindenburg to enter the Reichstag Building to testify before the subcommittee which is investigating war responsibilities, and forced the Field Ma...","Article"
"5172",5172,"Army barracks, army chow, and the army's pay voucher look better to the service men who are just being discharged than does the role of strikebreaker, according to those who continue to use the Soldiers' and Sailors' Hotel on Twenty-seventh Street...","Article"
"5173",5173,"mark drops 50 points","Article"
"5174",5174,"deplores Sen reservations to Peace Treaty with Germany in address at Public School Forum in N Y C","Front Page"
"5175",5175,"WASHINGTON, Nov. 15.--After the Senate today, working under the closure rule, which was invoked by a vote of 78 to 16, had adopted ten more of the Republican majority's reservations to the treaty with Germany, nearly completing the majority progra...","Front Page"
"5176",5176,"lr advising Russians who are displeased with U. S. Govt to return to Russia","Letter"
"5177",5177,"meeting in Berlin broken up by anti-League crowd","Front Page"
"5178",5178,"The largest field of gunners that has so far this season reported at the Travers Island traps of the New York Athletic Club for a Sunday shoot was on the firing line yesterday. Unfortunately, a high wind kept down the scores. The day was otherwise...","Article"
"5179",5179,"scarcity of ships in South Amer due to coal strike forces cargo rates up","Article"
"5180",5180,"complaint by Grace D. Marix that he has not been placed on list Of special awards, lr","Letter"
"5181",5181,"Negro, one of 4 said to have murdered a farmer, lynched by 100 masked men at Moberly","Article"
"5182",5182,"Regional Com cancels former excepted classes","Article"
"5183",5183,"The first move to bring about a resumption of former relations between the minor and major leagues was made yesterday, when J. Cal Ewing of the Pacific Coast League conferred with Garry Herrmann and John Heydler, members of the National Commission...","Article"
"5184",5184,"outbreak in Nicaragua","Article"
"5185",5185,"occulation of Beta Capricorni by the moon will take place Thanksgiving night","Article"
"5186",5186,"will run for Congress against V. Berger","Article"
"5187",5187,"In accepting an invitation of the Flatbush Chamber of Commerce to discuss transit facilities, H. Hobart Porter, General Manager of the Brooklyn City Railroad Company, yesterday referred to the prevailing high costs which, he said, had embarrassed ...","Article"
"5188",5188,"Seattle Union Record again seized","Article"
"5189",5189,"Carter Glass, Secretary of the United States Treasury, arrived here last night from Washington to consult William G. McAdoo, former Secretary of the Treasury, as to whether or not he should accept the position in the United States Senate made vaca...","Front Page"
"5190",5190,"death","Obituary"
"5191",5191,"LYNBROOK, L.I., Nov. 15.--After failing to establish a motive in their first few hours' investigation of the murder of Mrs. Clara Branch at her home at Valley Stream, Friday Nassau County detectives last night held as material witnesses ""Captain"" ...","Article"
"5192",5192,"1 killed and several wounded in election disturbances in Lodi","Article"
"5193",5193,"For some time past the Supreme Council, whenever not otherwise engaged, has spent its time sending notes to Rumania.","Editorial"
"5194",5194,"death","Obituary"
"5195",5195,"Hoppner, Jno, portrait brings $2,200","Article"
"5196",5196,"The Committee on Character and Fitness appointed by the Appeliate Division of the Supreme Court, to pass on candidates for admission to the bar, made public yesterday the names of the following persons who have passed their bar examinations and co...","Article"
"5197",5197,"Kohl, J., killed","Article"
"5198",5198,"Kaufmann, Minna, songs","Article"
"5199",5199,"","Obituary"
"5200",5200,"","Article"
"5201",5201,"","Article"
"5202",5202,"","Article"
"5203",5203,"""WHO all are here?"" asked Ethel Barrymore, radiating beauty from beneath a big picture  bat. ""I do so love to see all the notables,"" she added sincerely, for all the world as if she were not the most notable person present.  ","Article"
"5204",5204,"NEW HAVEN, Conn., Nov. 15.--Poets have sung and reporters have rhapsodized concerning the wonders of the Yale bowl, that marvelous utensil of athletic giants, that boiled over today With a bubbling mixture of more than sixty thousand football fana...","Article"
"5205",5205,"","Article"
"5206",5206,"TWENTY-ODD years ago: A Virginia belle, dancing all night in Richmond or riding to hounds in the Albemarle hills, playing a great  deal, thinking none too much along conventional lines, yet always brilliant, alert, witty, with a mind that made up ...","Article"
"5207",5207,"","Article"
"5208",5208,"ONE of the theatrical trade papers estimates that there are thirtythree plays now awaiting New York production and that some twenty-two others are in re  hearsal. If anything, these figures are an understatement.  ","Article"
"5209",5209,"OTHERS than the gamblers in stocks did some hard thinking during the last week when the rise in money rates knocked  out the pegs which had supported a lot of rising quotations.  ","Article"
"5210",5210,"PART of the facination of motion pictures is in their ability to visualize metaphorical expressions.  For example, that of money's taking wings and flying away.  ","Article"
"5211",5211,"","Obituary"
"5212",5212,"","Article"
"5213",5213,"","Article"
"5214",5214,"The Germans are naturally pained by the results of the municipal elections in Upper silesia, where a plebiselle is eventually to be taken to de  cide whether the provice goes to Poland or stays with Prussia.  ","Editorial"
"5215",5215,"The trade reviews of the past week assert that the calling off of the coal strike has land a stimulating effect on business generally.  ","Article"
"5216",5216,"","Article"
"5217",5217,"THE Franklin Inn Club of Philadelphia is preparing, in celebration of the Walt Whitman centenary year, a bronze medal of the poet,  and will have it ready early in December. It is the work of R. Tait McKenzie, is five inches in diameter, and shows...","Article"
"5218",5218,"","Article"
"5219",5219,"A LEAGUE of nations, bound by an important tie, is in operation now, and few are the Americans who have not profited by it directly, though not many are  aware of the service it gives. Even the fight over the League of Nations in the Senate has no...","Article"
"5220",5220,"Record number of deer killed in Adirondacks in season just closed","Article"
"5221",5221,"death","Obituary"
"5222",5222,"will be taken from death house at Sing Sing to testify at trial of G. Anzelmo and G. Paraino","Article"
"5223",5223,"Bd of Aldermen will amend law to limit speculators' profits to 50 cents","Article"
"5224",5224,"BISMARCK, N.D., Nov. 14.--Governor Lynn J. Frazier, under his proclamation of martial law, has completed the seizure by military force of North Da  kota's thirty--four organized lignite miner, and he is now in control of 70 per cent. of the coal o...","Article"
"5225",5225,"Though neither the country nor the rest of the world has much to thank the Senate for in regard to its long higgling over the Peace Treaty, there will be a practically unanimous feeling...","Editorial"
"5226",5226,"1,500 more State Guard relieved","Article"
"5227",5227,"LONDON, Nov. 14.--The Coroner at the inquest on Mrs. Alma V. Steane, the young society woman who was found dying on Wednesday, deliberately declined today to go into her family history.","Article"
"5228",5228,"eulogized by many speakers in Reichstag","Article"
"5229",5229,"Colver defends inquiry, renews charges, in attack on packers, at Natl Coffee Roasters Assoc","Article"
"5230",5230,"First Av, 55; Mrs Mary Tracy refuses to leave building without her dog","Article"
"5231",5231,"marries Susan T. Knapp","Marriage Announcement"
"5232",5232,"R. Richardson says ex-service men and their families will be favored for work","Article"
"5233",5233,"The demand for high-class private dwellings for both purchase and lease is one of the strongest features of the present realty market.","Article"
"5234",5234,"comment","Article"
"5235",5235,"The conference between the coal miners and operators has begun under conditions favorable to agreement. Both sides have exchanged blows Which each has felt, and both have been made aware that their are under the observation of the public, which is...","Editorial"
"5236",5236,"WHITE SULPHUR SPRINGS, W. Va., Nov. 16.--The modest little wooden church which nestles among the pine trees on the mountainside here probably for the first time in its existence had a capacity congregation today with the double attraction of a Bis...","Article"
"5237",5237,"Ex-President Taft and Dr. Charles W. Eliot, President Emeritus of Harvard, were the speakers last night at the concluding service of the centennial celebration of All Souls Unitarian Church, at Fourth Avenue and Twentieth Street. The auditorium wa...","Article"
"5238",5238,"LONDON, Nov. 14.--As a consequence of yesterday's ""rag"" ""Pussyfoot"" Johnson is now in bed with a ruptured eyeball, caused by a missile thrown by some one in the crowd. The police surgeon who examined the injury says there is a hemorrhage and that ...","Article"
"5239",5239,"PARIS, Nov. 15.--There appears to be little prospect of a settlement of the Paris printers' strike in the immediate future. Spemphane Lauzanne, editor of The Matin, says it will last as long as it may be necessary for the non-Socialist newspapers ...","Article"
"5240",5240,"Suspects of Alameda Co, Cal, will be taken on perilous trips to obtain confessions from them","Article"
"5241",5241,"arrested on complaint of policewoman, Mrs Kath Schneider","Article"
"5242",5242,"YALE FIELD, New Haven, Conn., Nov. 15.--The story of the Yale-Princeton battle, play by play, runs as follows:  ","Article"
"5243",5243,"","Obituary"
"5244",5244,"","Article"
"5245",5245,"","Article"
"5246",5246,"","Article"
"5247",5247,"","Article"
"5248",5248,"operators of mines outside of central fields meet","Article"
"5249",5249,"BOWIE, Md., Nov. 15.--The colors of J.J. Hallenbeck were very much in evidence here today when two of the best racers in his stable won purses for him. His Salvestra captured the Prince George Handicap at a mile, which was the feature on the card,...","Article"
"5250",5250,"will join after ratification of Peace Treaty with Germany is ratified","Article"
"5251",5251,"is in Roosevelt Hospital","Article"
"5252",5252,"shot while fleeing from policeman","Article"
"5253",5253,"features of plan adopted in department store","Article"
"5254",5254,"annual report","Article"
"5255",5255,"Comr O'Brien reports rapid decline of union","Article"
"5256",5256,"condition improves","Article"
"5257",5257,"CHARLESTON, W.Va., Nov. 14.--The coal strike situation in the southern mining fields of West Virginia was in a state of ""orderly chaos"" today, according to an announcement issued tonight at the headquarters of the Kanawha Coal Operators Associatio...","Front Page"
"5258",5258,"table of rates since 1908","Article"
"5259",5259,"WASHINGTON, Nov. 15.--Final action on the Esch Railroad bill was postponed by the House today after failure of the Senate to take a resolution on adjournment made it impossible for the House to adjourn until next week, even if the measure went thr...","Article"
"5260",5260,"The first Pan-American Architectural Congress, planned for 1916 but postponed because of the war, is to be held in Montevideo, Uruguay, March 1 to 7, according to an announcement just received by the Pan-American Union in Washington.","Article"
"5261",5261,"","Article"
"5262",5262,"","Article"
"5263",5263,"","Article"
"5264",5264,"","Article"
"5265",5265,"","Article"
"5266",5266,"","Article"
"5267",5267,"The first arrests in a widespread round-up of illicit dealers in War Savings Stamps were made here yesterday by officials of the Secret Service. It was said that throughout this Federal district a large number of persons have ...  ","Article"
"5268",5268,"IN the good old days when Baby Bunting was put to sleep with the happy  assurance that ""daddy's gone-a hunting,"" it must have been cheerful to anticipate that the head of the house might return with something better than a jack rabbit for supper, ...","Article"
"5269",5269,"ONE HUNDRED AND TWELVE days in Mexico--from April 10 to July 31 of the present year-- saw 317 major outbreaks of disorder reported in newspapers  published under the close scrutiny of the Mexican authorities, according to a map ...  ","Article"
"5270",5270,"CAMBRIDGE, Mass., Nov. 14.--There has been no change in the plan of the Harvard coaches to start a team of substitutes in the football match with Tufts in the Stadium Tomorrow Notwithstanding that the Cambridge coaches hold the team from Cohege Hi...","Article"
"5271",5271,"","Article"
"5272",5272,"","Article"
"5273",5273,"","Article"
"5274",5274,"","Article"
"5275",5275,"NEW BRUNSWICK, N.J., Nov. 15.-- After playing West Virginia to a standstill in the first half of their game here today, scoring once while the Mountaineers failed to make a tally, Rutgers was forward passed to death and went down to defeat on the ...","Article"
"5276",5276,"","Article"
"5277",5277,"","Article"
"5278",5278,"","Marriage Announcement"
"5279",5279,"","Article"
"5280",5280,"","Letter"
"5281",5281,"THIS book has exceptional authority. The talent of its author and his experience in public and private affairs of an industrial and economic  nature enable him to expound his theories as no mere theorist can. He uses many of the phrases of the ""up...","Article"
"5282",5282,"","Obituary"
"5283",5283,"","Letter"
"5284",5284,"""If we can make child life the sort of life it ought to be; if we can guard the food supply; if we can guard our borders against foreign infection; if we can keep streets and public places and homes clean there is no reason why we should not look ...","Article"
"5285",5285,"","Letter"
"5286",5286,"","Article"
"5287",5287,"Richard Gowdie, a novice runner of the Bronx Church House, led home the largest field of the season for the Bronx Athletic League road running activities.  ","Article"
"5288",5288,"lr on prohibition in Me.","Letter"
"5289",5289,"Members of the city's fire fighting force regard conditions in Jersey City where firemen were transferred for the avowed purpose of chacking the spread of radicalism in their ranks, as an object lesson, and through the Uniformed Firemen's Associat...","Article"
"5290",5290,"Chase, H. S., accused of passing bad check; committed to Bellevue for observation","Article"
"5291",5291,"Bolshevist envoys arrive in Dorpat, where they will be sequestered in seclusion","Article"
"5292",5292,"New colliery shaft of concrete being built in Scotland","Article"
"5293",5293,"Purchasers at the recent Claflin estate sale, at a meeting in the Real Estate Salesroom in Vesey Street on Thursday evening, attended by some 200 persons, the Tax Assessors in the Brong against Association for mutual protection and ...","Article"
"5294",5294,"ed","Front Page"
"5295",5295,"assigned by Shipping Bd to the Amer Line","Article"
"5296",5296,"LONDON, Saturday, Nov. 15.--It is  understood that the executive of the National Union of Railwaymen has virtuality agreed to accept the Government's proposal that railwaymen accept membership in committee management of the railways and that joint...","Article"
"5297",5297,"What one thinks of Count TOLSTOY now could not be said save in some cosmopolitan literary ""republic of the well-bred,"" if such an institution or Utopia exists, even in Florence today. What his influence was, if he had any,...","Editorial"
"5298",5298,"The spirit of extravagance pervading the American buying public was blamed for the high cost of living by Michael Friedsam, President of B. Altman  Co. and Chairman of the hair Price Committee's subcommittee on clothing and shoes, in a statement r...","Article"
"5299",5299,"PARIS, Nov, 15, (Associated Press.)-- ""I have asked the Supreme Council to consider that the finding contained in the report on Smyrna by the commission of investigation be considered null and void, and that another investigation be conducted."" El...","Article"
"5300",5300,"The Handley-Page biplane Atlantic, which left Mineola yesterday morning in an attempt at a nonstop flight to Chicago to demonstrate its express carrying powers, was forced to land at Mount, Jewett, Pa., about 265 miles from ...","Article"
"5301",5301,"martial law proclaimed in Batum; British troops maintaining order","Article"
"5302",5302,"Customs service on western frontier resumed","Article"
"5303",5303,"Poulet reaches Karachi, India; fliers taken for devils by Indians who wish to kill them","Front Page"
"5304",5304,"ratifies Peace Treaty with Germany","Article"
"5305",5305,"A cable dispatch was sent to the American delegates at the Peace Conferencein Paris yesterday by a group of 150 Jugoslavs in this city, protesting that the Italians were attempting to intimidate and coerce all Jugoslavs in the villages in the Dalm...","Article"
"5306",5306,"House adjournment blocked by Sen","Article"
"5307",5307,"STRANGE stories of sailors marooned on the bleak shores of  Montauk Point, at the far end of Long Island, because their enlistment papers and pay sheets were  lost through the negligence of some forgotten Ensign, have been circulated of late.","Article"
"5308",5308,"Paderewski tells Diet that no peace will be made with Reds and that war will be continued to make country safe","Article"
"5309",5309,"The refusal of the United States Supreme Court to review decisions of the highest courts in Missouri and Illinois in fare-rate cases has been generally accepted by lawyers here to mean that the State courts would be permitted to decide the rate-ma...","Article"
"5310",5310,"Hermann Wetzel, a Lieutenant of the German Navy, who lived in this city during the war, is a prisoner in the Tombs, awaiting trial before a military commission on the charge of espionage, and if convicted may be sentenced to death.","Article"
"5311",5311,"The solution of the present high price of milk to the consumer lies in the establishment of a regulated monopoly of distribution, according io a suggestion and plan submitted to the Governor's Fair Price Milk Committee yesterday afternoon by Patri...","Article"
"5312",5312,"C. T. Minkler acknowledged by navy as inventor","Article"
"5313",5313,"death","Obituary"
"5314",5314,"ITHACA, N.Y., Nov. 15.--A brilliant forward-passing attack was the chief cause of Cornell's undoing by Penn State today, by the score of 20 to 0, in the last home game of the season. Though, after the first period, there was no doubt as to which w...","Article"
"5315",5315,"ANOTHER of the Tearle family arrived on these shores last week and will act for the first time on  the American stage in some three or four weeks. This is Godfrey Tearle, a son of Osmond Tearle and a half brother of Conway Tearle.","Article"
"5316",5316,"urges necessity of keeping agreements in using acceptance system in foreign trade","Article"
"5317",5317,"Morgan Harjes Ambulance Unit decorated with Medaille Militaire","Article"
"5318",5318,"W. U. Attridge discharged for forming union and presenting demands at headquarters","Article"
"5319",5319,"Public Safety Commissioner Charles F. X. O'Brien continued yesterday his drastic reorganization of the Jersey City Fire Department, which, he charges, has become demoralized since the men joined a union.","Article"
"5320",5320,"Junior Promenade Com","Article"
"5321",5321,"Both the producers and the distributers have voiced their protest against the milk strike which has been called by the Community Councils of National Defense. The strike is to begin this morning, and will continue for three days...","Article"
"5322",5322,"Paweck, (Policeman) Jno L.","Article"
"5323",5323,"At the Mincola Fair Grounds next Saturduy there will be benched, it is said, the largest and most representative entry of shepherd dogs, popularly called ""police dogs,"" ever gathered at a dog show in this country.","Article"
"5324",5324,"MEXICO CITY, Nov. 16, (Associated Press.)--William O. Jenkins, United States Consular Agent at Puebia, was placed under arrest on Saturday and held under surveillance in his home, following charges by officials of Puebia...","Front Page"
"5325",5325,"The wooden statue of HINDERBURG may lie fallen flat as Dagon under the impact of red proletarian hands, but HINDENBURG himself is far from fallen. He has come to Berlin to testify before the Parliamentary Commission...","Editorial"
"5326",5326,"number expelled from Switzerland","Article"
"5327",5327,"Yoshinari Kawai, Secretary of the Tokio, Japan, Stock Exchange, visited the New York Stock Exchange yesterday to watch the American method of buying and selling securities and was told of the Intricacies of the American system of buying and sellin...","Article"
"5328",5328,"","Article"
"5329",5329,"","Article"
"5330",5330,"","Marriage Announcement"
"5331",5331,"","Article"
"5332",5332,"","Article"
"5333",5333,"","Article"
"5334",5334,"President BUTLER of Columbia is right in saying that the instant and most vital thing for Americans to do now, the thing on which all Americans should unite without regard to politics, is the smashing of the Bolsheviki and the I.W.W.  ","Editorial"
"5335",5335,"","Article"
"5336",5336,"","Article"
"5337",5337,"With more than fifty motor vehicles ready for exhibition, including several fo the latest models of French, English, and Italian cars, the Automobile Salon will open its show tomorrow morning in the big ballroom of the Hotel Commodore. The exhibit...","Article"
"5338",5338,"","Article"
"5339",5339,"NOBODY thought that he was having a good time, when he wasn't--which is ever prohibition's proud boast. The writer  knows whether she was having a good time, for she traveled to the first dryseason masquerade ball of the Cercle ...  ","Article"
"5340",5340,"In response to an invitation issued by Daniel Frohman, President of the Actor's Fund of America, the Gover  nors of thirty-three States and one territory have become members of the Governors' Committee for the Actors' ...  ","Article"
"5341",5341,"","Article"
"5342",5342,"","Article"
"5343",5343,"","Article"
"5344",5344,"","Article"
"5345",5345,"PARIS, Nov. 16.--The hope of England, France, and Italy to have American ratification of the Versailles Treaty deposited with theirs appears now based on the belief that the American Administration will be able to get the Republicans...  ","Article"
"5346",5346,"","Article"
"5347",5347,"","Marriage Announcement"
"5348",5348,"","Article"
"5349",5349,"","Marriage Announcement"
"5350",5350,"The Industrial missions sent here by Great Britain, France, Italy, and Belgium to attend the International Trade Conference in Atlantic City last month will arrive here on Thursday for a six days' visit. The missions will be received here by the M...","Article"
"5351",5351,"WASHINGTON, Nov. 16.--Will the Administration Democrats in the Senate vote to reject the resolution of ratification of the treaty with Germany with the majority reservations embodied in it and in doing so run the risk of throttling the treaty?  ","Front Page"
"5352",5352,"Mayor T.C. Rogers of Centralia, Wash., in response to a request from THE NEW YORK TIMES for information concerning the situation there, sent the following dispatch.","Article"
"5353",5353,"Blasco Ibanez speaks in its behalf","Article"
"5354",5354,"loyal employes of Baltimore dry dock and ship bldrs rise to oust Red agitators following appeal to seize plant","Front Page"
"5355",5355,"At a luncheon given by the Women Lawyers' Association at the Women's City Club yesterday in honor of City Magistrate Jean H. Norris there was some spirited but friendly debate when representatives of the Democratic and the Republican Parties each ...","Article"
"5356",5356,"The Rev. Christian Adam Kress, former pastor of the Sixteenth Street Free Methodist Church, Brooklyn, and now connected with the A.M. Chesborough Seminary at Chili. N.Y., took the witness stand in his own behalf yesterday when the trial of the sep...","Article"
"5357",5357,"Consolidated reports","Article"
"5358",5358,"","Article"
"5359",5359,"","Article"
"5360",5360,"Vermont University's husky gridiron warriors defeated the New York Aggies yesterday afternoon at Ebbets Field, Brooklyn, by a score of 10 to 6. Vermont scored a goal from field in the first period, and a touchdown and ...  ","Article"
"5361",5361,"","Article"
"5362",5362,"","Article"
"5363",5363,"","Article"
"5364",5364,"","Article"
"5365",5365,"","Article"
"5366",5366,"Launched","Article"
"5367",5367,"THE recently organized Alumni Association of New York University has announced that a scholarship  will be awarded every year by each of the local alumni clubs of the University now organized in Chicago, Pittsburgh, ...","Article"
"5368",5368,"says R R men will press for wage rise, sees no hope in Wilson's plan to reduce living costs","Article"
"5369",5369,"incorporated","Article"
"5370",5370,"several arrests in Mich. and Ky.","Article"
"5371",5371,"J. Henry Kuhn, a leading commission merchant in Vienna, and John L. Geggenhofer, a member of his firm, both of whom are Austrian subjects, are now in this country for the purpose of interesting American merchants in the purchasing of goods of Aust...","Article"
"5372",5372,"Police Comm in Providence permits sale of beer containing not more than 4% alcohol","Article"
"5373",5373,"THE exhibition of costumes and textiles at the American Museum  of Natural History is extremely interesting. One of the reasons for arranging the exhibition was  to show the public what the designer could do with such resources as the Museum provi...","Article"
"5374",5374,"Gen Degoutte forbids circulation in French area of occupation of the Frankfurter Zeitung and the Frankfurter Volkstimme","Article"
"5375",5375,"Herbert Puckhaber, one of a party of American boys who have been touring Australia in charge of Major S.S. Peixotto of the Australian Imperial Forces, ...","Article"
"5376",5376,"Subpoenas from the Extraordinary Grand Jury have again been served on Miss Hattie Grant and her sister, Miss Theresa Grant, nieces of Commissioner of Accounts Hirshfield, requiring them to appear as witnesses at the Criminal Courts Building tomorr...","Article"
"5377",5377,"Demands drawn up at joint meeting of Fall River and New Bedford councils","Article"
"5378",5378,"Sir M. Cashin resigns as Premier; R. A. Squires called for formation of new Cabinet","Article"
"5379",5379,"ROME, Nov. 14.--The electoral struggle has now reached its apex. Mass meetings are daily and hourly taking place all over the country. Candidates feverishly rush from town to town and harangue the crowds, many of them delivering as many as four or...","Article"
"5380",5380,"adoption of motor buses to replace B'way cars urged at monthly meeting","Article"
"5381",5381,"Interesting sidelights on the war continue to be gathered from those who are just returning from France after war-long service on the other side. One of those who has just got home from France was Martin V. Merle of San Francisco, a playwright. He...","Article"
"5382",5382,"recount demanded by Anti-Saloon League","Article"
"5383",5383,"Opposes repeal of appropriations for project in statement to Sen Com","Article"
"5384",5384,"flag of Irish Republic ordered removed from his car in Portland, Ore","Front Page"
"5385",5385,"The Children's Relief Bureau of the American Relief Administration has saved the lives of 1,000,000 children in Poland, according to Dr. Boris Bogen of New York, Director General of Jewish relief work in that country.","Article"
"5386",5386,"LONDON, Nov. 16 (Associated Press). --James Henry Thomas, General Secretary of the National Union of Railway Men, in a speech at Bristol today, outlined the plan of the Government to give the men representation on a point board...","Article"
"5387",5387,"death","Obituary"
"5388",5388,"The National Sculpture Society adopted resolutions at a special meeting last night against retaining the temporary arch in Fifth Avenue at Madison Square as a permanent memorial to the great ...","Article"
"5389",5389,"H. J. Harley, suffering from shell shock, found at Hampton Roads Naval Base after being missing 2 mos","Article"
"5390",5390,"condition","Article"
"5391",5391,"arrested on charge of ticket speculating","Article"
"5392",5392,"Articles","Article"
"5393",5393,"BERLIN, Nov. 14.--The German medical profession is deeply interested in an extraordinary case of catalepsy or  asphyxia which the greatest authorities, after a careful examination, can only explain as a relapse into hibernation, based upon the the...","Article"
"5394",5394,"There was placed on exhibition in the Recent Accessions Room of the metropolitan Museum of Art yesterday afternoon what is considered one of the most important single accessions to the Print department of the Museum since it establishment in 1917,...","Article"
"5395",5395,"Oct shipments of anthracite","Article"
"5396",5396,"urges budget system, in address to Real Estate Owners' Assoc","Article"
"5397",5397,"While the Peace Conference was in session at Paris the Mexicans, it appears, were preparing for war. The munitions that were ordered in Spain were obviously to be used against this country, and the presumption is that ...","Editorial"
"5398",5398,"will","Article"
"5399",5399,"Whitehall St Station opened","Article"
"5400",5400,"K of C engages P. Bartlett to make replica of his statue for Metz","Article"
"5401",5401,"PLYMOUTH, Nov. 14 (Associated Press).--The appearance today of Mrs. David Lloyd George, wife of the British Prime Minister, in the electoral campaign on the side of Lady Astor marked the climax of one of the most unusual political battles ever fou...","Front Page"
"5402",5402,"says ticket speculators should be taxed out of business","Article"
"5403",5403,"WASHINGTON, Nov. 14, (Associated Press).--Disclosure of large orders for arms and ammunition placed by Mexico in Europe was followed today by revelations tending to show that the Reds' underground line from Soviet Russia to the United States runs ...","Front Page"
"5404",5404,"The American-Scandinavian Foundation gave a dinner last night in the Waldorf-Asteria Roof Garden in honor of the Scandinavian delegates to the International Industrial Conference in Washington.","Article"
"5405",5405,"","Article"
"5406",5406,"ATRIO of new productions will be the week's contribution--in so far  as the English language is concerned--to the city's dramatic fare.  ","Article"
"5407",5407,"","Article"
"5408",5408,"asks an end of demonstrations in his honor","Article"
"5409",5409,"dinner by coms of United Building Fund","Article"
"5410",5410,"The Extraordinary Grand Jury, which adjourned on Thursday to enable a committee of its members to examine letters and documents subpoenaed from various city officials and from files in several city departments, will resume today...","Article"
"5411",5411,"urges passage of army chaplains bill recently introduced in House and Sen","Article"
"5412",5412,"WASHINGTON, Nov. 15.--Net liquidation of $70,400,000 of war paper as against additions of $30,500,000 to other discounts and $22,100,000 to acceptances on hand is indicated in the Federal Reserve Board's weekly bank statement issued as at the clos...","Article"
"5413",5413,"","Article"
"5414",5414,"","Article"
"5415",5415,"","Article"
"5416",5416,"","Article"
"5417",5417,"","Article"
"5418",5418,"","Article"
"5419",5419,"THAT wonderful story of the See by Maurice Maeterlinck has been taken in selections and arranged into a book for the young people.  ""The Children's Life of the Bee,"" with delightful pictures by Edward J. Detmold in colors (Dodd, Mead  Co.) The boo...","Article"
"5420",5420,"","Article"
"5421",5421,"IN his critical and historical study of ""The Great Four"" (""The Women Novelists,"" recently published by Charles Seribner's Sons) Mr. R.  BRIMLEY JOHNSON indicates, perhaps unconsciously, the extraordinary advance women have made in the writing of f...","Editorial"
"5422",5422,"","Article"
"5423",5423,"","Article"
"5424",5424,"","Article"
"5425",5425,"WASHINGTON, Nov. 16.--Daniel C. Roper, the Commissioner of Internal Revenue, is satisfied with the first two weeks of the record of the enforcement of the Prohibition act. He said today that his confidence ""in the desire of the American people to ...","Article"
"5426",5426,"""He could decorate a two-room flat so beautifully with words, and picture so glowingly the happiness to be had in it, that you couldn't resist him,"" said one of the three wives of George Leslie Miller, of 923 Green Avenue, Brooklyn, 22 years old, ...","Article"
"5427",5427,"Oliver Denton's recital","Article"
"5428",5428,"Students who win scholarships","Article"
"5429",5429,"THE HAGUE, Nov. 15.--The strenuous Hague diplomacy of wartime is fast undergoing a conversion into peacetime, dinner-table, golf-club diplomacy, and representatives of almost every country are being replaced by diplomats...","Article"
"5430",5430,"Berlin mass meeting called in fear of Pan-German coup","Article"
"5431",5431,"meeting between operators and union officials","Article"
"5432",5432,"WASHINGTON, Nov. 15.--Agreement has been reached by the House Military Affairs Committee for a peace army of 300,000 officers and men, nearly three times the size of the army before the war, and about half the size recommended by the General Staff...","Article"
"5433",5433,"OSSINING, N.Y. Nov. 14.--Warden Edward V. Brophy of Sing Sing, whose resignation Thursday was a surprise to his associates, quit the office according to trustworthy prison news sources, because his Albany superiors so interfered with the managemen...","Article"
"5434",5434,"announces new devices for bettering air mail service","Article"
"5435",5435,"A decision by Supreme Court Justice Cropsey in Brooklyn on Saturday concerning the amended provision of the penal law, enacted May 5, 1919, entitled...","Article"
"5436",5436,"WHERE are the opportunities for volunteer women war workers since war societies have sunk into oblivion? That  question has raised to the surface an interesting opening for those casting about for something to do, something which will hold its fai...","Article"
"5437",5437,"ANTHOLOGIES are legion, nowadays, and to read them all is a task for the  strong. But, in spite of this fact, when Miss Rittenhouse makes an anthology readers and reviewers alike are interested, for they know that reading it will be a pleasure. He...","Article"
